class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Social Studies,"History of Social Studies in the United States and Europe",10-11,"Understanding how Social Studies was first conceived in the United States after world wars to help understand human problems"
Jss 1,Noel Term,2,Social Studies,"Spread of Social Studies to Africa",10-11,"Learning about Mombasa conference in Kenya that promoted Social Studies education across African countries"
Jss 1,Noel Term,3,Social Studies,"Introduction of Social Studies in Nigeria",10-11,"Understanding Aiyetoro Comprehensive High School Pilot Study and Ford Foundation's role in bringing Social Studies to Nigeria"
Jss 1,Noel Term,4,Social Studies,"Growth of Social Studies in Nigeria",10-11,"Learning how former twelve states promoted Social Studies in educational institutions; current teaching in primary, secondary, colleges, universities"
Jss 1,Noel Term,5,Social Studies,"Family as Primary Social Group: Meaning",10-11,"Understanding primary social group as close, personal, long-lasting relationships where members share concern, activities, and culture"
Jss 1,Noel Term,6,Social Studies,"What Makes Family a Primary Social Group",10-11,"Learning why family is main unit of socialization; everyone belongs to a family; every society grows from family unit"
Jss 1,Noel Term,7,Social Studies,"Roles of Family Members in Community",10-11,"Understanding family roles: working for community growth, contributing to economy, population growth, political participation (voting)"
Jss 1,Noel Term,8,Social Studies,"Characteristics of Large Family Size",10-11,"Understanding large family: father, mother, and many children; learning consequences on quality of life and resources"
Jss 1,Noel Term,9,Social Studies,"Characteristics of Small Family Size",10-11,"Understanding small family: father, mother, and few children; learning benefits like better care, education, financial stability"
Jss 1,Noel Term,10,Social Studies,"Consequences of Family Size on National Economy",10-11,"Understanding how large families affect population growth, resource allocation, poverty; small families' impact on workforce and economy"
Jss 1,Calvary Term,1,Social Studies,"Culture: Meaning and Definition",10-11,"Understanding culture as total way of life of people; learning it includes beliefs, customs, traditions, behaviors of a society"
Jss 1,Calvary Term,2,Social Studies,"Components of Culture: Material Culture",10-11,"Learning about tangible aspects of culture: food, clothing, houses, tools, technology, crafts, artifacts people make and use"
Jss 1,Calvary Term,3,Social Studies,"Components of Culture: Non-Material Culture",10-11,"Understanding intangible aspects: language, religion, beliefs, values, norms, customs, traditions, folklore, knowledge systems"
Jss 1,Calvary Term,4,Social Studies,"Features and Characteristics of Culture",10-11,"Learning culture features (language, food, dressing, religion, technology); understanding culture is learned, guides behavior, allows variety"
Jss 1,Calvary Term,5,Social Studies,"Cultural Similarities Among Nigerians",10-11,"Identifying common cultural traits: respect for elders, hospitality, communal living, naming ceremonies, marriage customs across ethnic groups"
Jss 1,Calvary Term,6,Social Studies,"Cultural Differences in Nigeria",10-11,"Understanding diverse cultures: different languages, traditional attires, foods, festivals, dances, greetings among ethnic groups"
Jss 1,Calvary Term,7,Social Studies,"Shared Norms and Values of Nigerians",10-11,"Learning common values: respect, honesty, hard work, religious tolerance, community spirit that unite Nigerians despite differences"
Jss 1,Calvary Term,8,Social Studies,"Socialization: Meaning and Process",10-11,"Understanding socialization as lifelong process of learning norms, customs, values; acquiring skills to function in society"
Jss 1,Calvary Term,9,Social Studies,"Agents of Socialization",10-11,"Learning about agents: family (primary), school, religious organizations, peer groups, media, age grades, clubs and societies"
Jss 1,Calvary Term,10,Social Studies,"Importance of Socialization",10-11,"Understanding socialization teaches necessary skills, helps individuals function in society; most important learning process for social integration"
Jss 1,Summer Term,1,Social Studies,"Road Safety Club: Structure and Formation",10-11,"Understanding structure and process of forming Road Safety Club in schools; learning organizational setup through organogram"
Jss 1,Summer Term,2,Social Studies,"Roles of Road Safety Club in Youth Socialization",10-11,"Learning how Road Safety Club teaches discipline, safety awareness, civic responsibility, leadership skills to students"
Jss 1,Summer Term,3,Social Studies,"Contemporary Social Problems in Nigeria",10-11,"Identifying common social problems: examination malpractice, cultism, HIV/AIDS, poverty, corruption, drug abuse in society"
Jss 1,Summer Term,4,Social Studies,"Causes of Social Problems in Nigeria",10-11,"Understanding causes: poverty, corruption, lack of parental care, greed, unemployment, poor education, peer pressure"
Jss 1,Summer Term,5,Social Studies,"Effects of Social Problems",10-11,"Learning effects: poverty, underdevelopment, insecurity, health issues, moral decay, economic problems, social instability"
Jss 1,Summer Term,6,Social Studies,"Ways of Solving Social Problems",10-11,"Understanding solutions: government policies, civil society participation, personal discipline (contentment, loyalty, faithfulness), education, awareness"
Jss 1,Summer Term,7,Social Studies,"Need for Safety in Our Communities",10-11,"Understanding why safety is important: preventing accidents, protecting lives and property, ensuring peace and security"
Jss 1,Summer Term,8,Social Studies,"Safety Measures in Home, School and Workplace",10-11,"Learning safety practices: proper storage of dangerous items, fire prevention, first aid, emergency exits, maintaining clean environment"
Jss 1,Summer Term,9,Social Studies,"Safety Guidelines for Pedestrians",10-11,"Learning pedestrian safety: walking on left side facing traffic, wearing bright colors at night, proper road crossing techniques"
Jss 1,Summer Term,10,Social Studies,"Safety Guidelines for Cyclists and Motorists",10-11,"Understanding cyclist safety (helmets, protective gear, bright clothing) and motorist safety (seat belts, traffic rules, vehicle maintenance)"
